Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"US$60,569,126,307.00 ",8.85%,"22,156,650",US$41.47 ,-0.74%,No,No,1.15%,6.72%,-13.73%,45.17%,25.74%,"US$471,470,074.95 ","US$389,769,020.64 ","US$471,421,893.52 ","(US$613,916,653.62)","US$17,009,859,401.50 ","US$16,970,243,615.10 ",Emerging Markets Equities,10/3/2005,0.14%,3 Platforms,US$1.10 ,24/12/2018,US$0.26 ,2.68%,12,0.9,1565,20.53%,35%,15%,1099,US$38.56 ,US$41.73 ,US$41.38 ,US$41.57 ,61.8,A,A,A,B+,B,B+,A+,4.31,28.37%,14.14%,389.41,2.87%,4.00%
EEM,iShares MSCI Emerging Markets ETF,Equity,"US$33,806,372,014.00 ",9.47%,"95,219,072",US$42.76 ,-0.79%,No,No,1.33%,7.73%,-13.22%,48.55%,24.39%,"US$1,865,828,497.50 ","US$998,486,185.50 ","US$1,675,182,663.00 ","(US$4,920,580,728.00)","US$7,083,732,415.50 ","(US$580,563,994.50)",Emerging Markets Equities,11/4/2003,0.67%,N/A,US$0.87 ,18/12/2018,US$0.58 ,2.08%,11.97,0.91,1088,23.82%,35%,15%,1099,US$39.29 ,US$43.07 ,US$42.65 ,US$42.86 ,62.37,A-,A+,B-,B,B,B,A,4.34,31.40%,14.72%,344.66,3.21%,4.32%
FXI,iShares China Large-Cap ETF,Equity,"US$6,145,494,802.00 ",9.37%,"36,593,920",US$42.74 ,-0.93%,No,No,1.30%,8.53%,-15.65%,47.71%,40.66%,US$0.00 ,US$0.00 ,US$0.00 ,"US$2,327,880,265.50 ","US$416,383,774.50 ","US$647,777,718.00 ",China Equities,5/10/2004,0.74%,2 Platforms,US$1.05 ,18/12/2018,US$0.45 ,2.50%,11.15,1.22,77,57.28%,35%,15%,1099,US$38.86 ,US$43.09 ,US$42.55 ,US$42.90 ,61.1,A-,A+,C+,B+,B+,B+,C+,3.27,23.33%,1.96%,328.7,0.00%,4.75%
EEMV,iShares Edge MSCI Min Vol Emerging Markets ETF,Equity,"US$5,569,420,862.00 ",5.84%,"854,566",US$59.13 ,-0.42%,No,No,1.03%,4.87%,-5.30%,35.70%,25.32%,"US$301,397,448.00 ","US$29,063,835.00 ","US$240,668,428.00 ","US$998,937,296.00 ","US$2,105,595,638.00 ","US$3,054,183,638.00 ",Asia Pacific Equities,18/10/2011,0.25%,Fidelity,US$1.37 ,18/12/2018,US$0.86 ,2.33%,14.8,0.68,323,14.61%,35%,15%,1099,US$55.95 ,US$59.36 ,N/A,N/A,64.33,A+,A,A,A-,A,B,A-,4.52,49.77%,18.68%,370.5,4.37%,6.49%
INDA,iShares MSCI India ETF,Equity,"US$4,646,156,235.00 ",-2.58%,"5,505,713",US$32.48 ,-0.98%,No,No,-0.55%,-2.46%,-10.50%,28.80%,45.80%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$451,731,699.50)","US$477,238,256.00 ","US$3,714,725,756.00 ",Asia Pacific Equities,2/2/2012,0.68%,N/A,US$0.31 ,28/12/2018,US$0.02 ,0.97%,19.78,0.74,79,52.93%,15%,35%,1099,US$32.05 ,US$33.22 ,US$32.39 ,US$32.63 ,50.01,B+,A,B-,C+,A-,C+,B,4.83,48.58%,28.70%,601.53,7.57%,5.51%
AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Equity,"US$4,509,376,695.00 ",7.82%,"1,529,602",US$68.50 ,-0.70%,No,No,0.96%,7.65%,-13.30%,45.95%,33.01%,"US$24,998,768.00 ",US$0.00 ,US$0.00 ,"(US$177,469,028.00)","US$1,455,553,342.00 ","US$1,681,661,342.00 ",Asia Pacific Equities,13/8/2008,0.69%,2 Platforms,US$1.34 ,18/12/2018,US$0.93 ,1.94%,11.58,0.92,834,27.89%,35%,15%,1099,US$63.18 ,US$69.08 ,US$68.34 ,US$68.65 ,60.55,B,A-,C+,B-,A-,C+,A,4.45,19.42%,17.21%,331.11,3.95%,5.44%
MCHI,iShares MSCI China ETF,Equity,"US$4,246,740,384.00 ",12.03%,"7,691,347",US$58.95 ,-0.61%,No,No,1.92%,11.08%,-18.22%,57.37%,47.92%,"US$187,978,382.00 ",US$0.00 ,"US$187,978,382.00 ","US$1,451,331,692.00 ","US$1,602,439,342.00 ","US$2,868,684,804.00 ",China Equities,29/3/2011,0.59%,Fidelity,US$0.84 ,18/12/2018,US$0.53 ,1.42%,11.66,1.15,311,52.74%,35%,15%,1099,US$52.73 ,US$59.51 ,US$58.73 ,US$59.14 ,61.78,A,A,A-,B,B+,A-,B+,3.18,20.00%,1.51%,297.71,1.23%,6.06%
SPEM,SPDR Portfolio Emerging Markets ETF,Equity,"US$2,260,221,490.00 ",8.90%,"1,023,716",US$35.24 ,-0.59%,No,No,1.61%,6.66%,-12.56%,51.40%,30.17%,"US$160,547,578.00 ",US$0.00 ,"US$128,498,818.00 ","US$1,013,400,861.00 ","US$1,787,300,361.00 ","US$1,787,300,361.00 ",Emerging Markets Equities,23/3/2007,0.11%,N/A,US$0.76 ,24/12/2018,US$0.43 ,2.16%,11.72,0.89,1020,20.70%,39%,20%,1099,US$32.77 ,US$35.37 ,US$35.15 ,US$35.32 ,62.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.36,36.28%,15.21%,408.03,3.32%,4.07%
DEM,WisdomTree Emerging Markets Equity Income Fund,Equity,"US$2,168,416,750.00 ",9.61%,"497,385",US$44.01 ,-0.77%,No,No,1.69%,7.42%,-6.66%,62.69%,16.86%,"US$12,502,977.00 ",US$0.00 ,"US$12,502,977.00 ","US$109,463,201.00 ","US$430,121,354.00 ","(US$1,558,700,481.00)",Emerging Markets Equities,13/7/2007,0.63%,E*TRADE,US$1.79 ,24/12/2018,US$0.23 ,4.13%,9.73,0.86,468,24.48%,35%,15%,1099,US$40.50 ,US$44.27 ,US$43.90 ,US$44.13 ,64.85,A-,A,B,B,B-,A,A-,3.88,0.39%,6.68%,556.52,1.85%,4.55%
EPI,WisdomTree India Earnings Fund,Equity,"US$1,365,040,845.00 ",-4.23%,"1,609,735",US$23.75 ,-1.21%,No,No,-1.62%,-4.00%,-15.40%,31.78%,54.89%,"(US$43,425,134.00)","(US$23,957,670.00)","(US$43,425,134.00)","(US$183,939,464.00)","(US$383,242,114.00)","US$170,986,710.00 ",Asia Pacific Equities,22/2/2008,0.84%,2 Platforms,US$0.28 ,28/12/2018,US$0.03 ,1.21%,17.62,0.84,336,42.21%,35%,15%,1099,US$23.60 ,US$24.75 ,US$23.68 ,US$23.88 ,46.55,B+,A,C+,C,B+,C+,A-,4.51,28.42%,18.44%,739.2,5.02%,2.36%
DGS,WisdomTree Emerging Markets SmallCap Divdend Fund,Equity,"US$1,345,256,496.00 ",10.12%,"146,358",US$46.13 ,-0.35%,No,No,1.76%,7.98%,-13.59%,54.06%,25.74%,"(US$8,363,046.00)",US$0.00 ,US$0.00 ,"(US$100,903,261.00)","US$277,309,968.00 ","(US$294,005,598.00)",Emerging Markets Equities,30/10/2007,0.63%,E*TRADE,US$1.78 ,24/12/2018,US$0.31 ,3.92%,11.56,0.79,851,8.08%,35%,15%,1099,US$42.17 ,US$46.38 ,US$46.02 ,US$46.22 ,66.29,A,A-,B,A-,A-,B+,A,N/A,N/A,N/A,N/A,N/A,N/A
GXC,SPDR S&P China ETF,Equity,"US$1,158,146,085.00 ",12.26%,"210,085",US$95.21 ,-0.48%,No,No,2.20%,11.55%,-17.72%,57.46%,48.13%,"US$75,765,110.00 ","US$73,898,688.00 ","US$110,049,550.00 ","US$59,627,700.00 ","US$57,345,519.00 ","US$124,135,080.00 ",China Equities,23/3/2007,0.59%,2 Platforms,US$1.72 ,24/12/2018,US$1.16 ,1.82%,11.06,1.19,345,49.44%,35%,15%,1099,US$84.72 ,US$96.00 ,N/A,N/A,62.64,A,A-,A,B-,A-,B,A,3.16,18.33%,1.44%,299.53,1.29%,6.40%
