Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
MUB,iShares National AMT-Free Muni Bond ETF,Bond,"$11,299,896,091.00 ",0.04%,"1,629,502",$109.08 ,-0.34%,No,No,0.09%,0.05%,2.55%,3.63%,14.57%,"($502,355,932.00)",$0.00 ,"($567,497,974.00)","$2,069,617,420.00 ","$5,583,290,323.00 ","$8,345,262,323.00 ",National Munis,7/9/2007,0.07%,2 Platforms,$2.68 ,2018/12/18,$0.22 ,2.45%,0,-0.05,3649,2.77%,35%,15%,1099,$108.82 ,$109.27 ,$109.01 ,$109.20 ,59.61,A+,A,B,B+,A,B+,A+,N/A,N/A,N/A,N/A,N/A,N/A
SHM,SPDR Barclays Short Term Municipal Bond,Bond,"$3,663,641,772.00 ",0.33%,"859,706",$48.22 ,-0.08%,No,No,0.10%,0.35%,1.70%,1.41%,3.76%,"($159,158,695.00)","($48,277,092.00)","($159,158,695.00)","$62,186,812.00 ","$835,793,120.14 ","$1,558,439,938.50 ",National Munis,10/10/2007,0.20%,2 Platforms,$0.59 ,2018/12/19,$0.05 ,1.22%,0,-0.02,473,14.20%,35%,15%,1099,$48.07 ,$48.27 ,$48.18 ,$48.26 ,66.02,A,A+,A-,B-,A,C+,A,N/A,N/A,N/A,N/A,N/A,N/A
TFI,SPDR Barclays Capital Municipal Bond ETF,Bond,"$2,846,884,381.00 ",0.31%,"923,119",$48.27 ,-0.35%,No,No,0.23%,0.27%,2.53%,3.68%,15.83%,"($19,316,453.00)",$0.00 ,"($43,513,133.00)","$306,865,363.00 ","$1,215,849,389.04 ","$1,850,398,180.92 ",National Munis,13/9/2007,0.23%,2 Platforms,$1.08 ,2018/12/19,$0.09 ,2.23%,0,-0.07,485,38.20%,35%,15%,1099,$48.09 ,$48.37 ,$48.20 ,$48.36 ,61.4,A,A,B+,A-,A-,B+,A,N/A,N/A,N/A,N/A,N/A,N/A
SUB,iShares S&P Short Term National AMT-Free Bond ETF,Bond,"$2,150,402,255.00 ",0.08%,"247,242",$105.48 ,-0.13%,No,No,-0.02%,0.11%,1.77%,1.82%,3.31%,"$110,492,163.50 ","$5,269,907.50 ","$89,472,144.00 ","$645,883,844.50 ","$1,188,693,117.50 ","$1,368,720,617.50 ",National Munis,5/11/2008,0.07%,Fidelity,$1.39 ,2018/12/18,$0.14 ,1.32%,0,-0.01,1022,5.72%,35%,15%,1099,$105.29 ,$105.62 ,$105.39 ,$105.54 ,58.74,B+,B+,B,C+,A+,C,A,N/A,N/A,N/A,N/A,N/A,N/A
ITM,VanEck Vectors AMT-Free Intermediate Municipal Index ETF,Bond,"$1,737,515,362.00 ",0.44%,"337,340",$47.68 ,-0.42%,No,No,0.10%,0.17%,3.69%,5.24%,18.33%,"$62,002,253.00 ",$0.00 ,"$54,872,358.50 ","($47,954,327.13)","$396,501,596.87 ","$1,094,916,413.87 ",National Munis,4/12/2007,0.24%,TD Ameritrade,$0.74 ,2018/12/27,$0.10 ,1.55%,0,-0.09,2884,2.05%,35%,15%,1099,$47.49 ,$47.81 ,$47.61 ,$47.77 ,60.25,A,A,B+,A-,B,B,A,N/A,N/A,N/A,N/A,N/A,N/A
PZA,Invesco National AMT-Free Municipal Bond ETF,Bond,"$1,523,380,009.00 ",0.58%,"509,752",$25.06 ,-0.08%,No,No,0.68%,0.25%,2.41%,7.27%,24.96%,"($14,988,002.00)",$0.00 ,"($20,019,038.00)","($93,247,112.00)","$476,557,757.50 ","$977,918,024.50 ",National Munis,11/10/2007,0.28%,N/A,$0.86 ,2019/1/22,$0.07 ,3.43%,0,-0.05,353,13.51%,35%,15%,1099,$24.89 ,$25.06 ,N/A,N/A,62.38,A-,A,B-,B+,B,A-,B,N/A,N/A,N/A,N/A,N/A,N/A
MUNI,PIMCO Intermediate Municipal Bond Strategy Fund,Bond,"$308,739,321.00 ",0.40%,"60,671",$53.03 ,-0.43%,No,No,0.15%,0.23%,2.93%,3.85%,11.94%,"($7,940,334.00)",$0.00 ,"($7,940,334.00)","$21,603,831.50 ","$61,961,872.00 ","$99,410,584.50 ",National Munis,30/11/2009,0.35%,N/A,$1.36 ,2018/12/28,$0.10 ,2.55%,0,-0.04,159,19.42%,35%,15%,1099,$52.86 ,$53.14 ,$52.94 ,$53.14 ,57.51,B-,B,C+,B+,B+,B,C+,N/A,N/A,N/A,N/A,N/A,N/A
SMB,VanEck Vectors AMT-Free Short Municipal Index ETF,Bond,"$197,084,020.00 ",0.64%,"72,650",$17.41 ,-0.06%,No,No,0.14%,0.58%,2.19%,2.81%,5.30%,"($4,344,085.00)",$0.00 ,"($4,344,085.00)","($26,821,985.50)","($63,241,855.50)","($26,234,974.50)",National Munis,22/2/2008,0.20%,N/A,$0.26 ,2018/12/27,$0.02 ,1.47%,0,-0.01,606,7.02%,35%,15%,1099,$17.31 ,$17.43 ,$17.39 ,$17.43 ,62.56,B+,A-,B+,B-,B+,B-,B,N/A,N/A,N/A,N/A,N/A,N/A
MLN,VanEck Vectors AMT-Free Long Municipal Index ETF,Bond,"$133,755,359.00 ",0.20%,"59,348",$19.60 ,-0.41%,No,No,0.72%,0.00%,2.33%,6.19%,25.80%,"($10,846,192.50)",$0.00 ,"($10,846,192.50)","($37,257,189.00)","$23,554,580.50 ","$60,965,987.50 ",National Munis,2/1/2008,0.24%,N/A,$0.60 ,2018/12/27,$0.05 ,3.07%,0,-0.06,506,6.17%,35%,15%,1099,$19.48 ,$19.65 ,$19.56 ,$19.65 ,56.31,A-,B+,B+,A,B-,A-,B-,N/A,N/A,N/A,N/A,N/A,N/A
SMMU,Pimco Short Term Municipal Bond Fund,Bond,"$82,918,990.00 ",0.17%,"8,813",$49.91 ,-0.12%,No,No,-0.04%,0.14%,1.67%,2.62%,4.36%,"$2,490,668.00 ",$0.00 ,$0.00 ,"$14,909,587.00 ","$22,538,724.00 ","$4,859,792.00 ",National Munis,1/2/2010,0.35%,N/A,$0.86 ,2018/12/28,$0.08 ,1.72%,0,-0.02,100,16.33%,35%,15%,1099,$49.81 ,$49.98 ,$49.86 ,$49.95 ,55.15,C,C+,C+,B-,A-,C+,C+,N/A,N/A,N/A,N/A,N/A,N/A
